FOR Quicksort              FOR BUBBLE SORT
0:00:00                    0:00:00.066438
0:00:00.002992             0:00:00.358013
0:00:00.015590             0:00:00.746462
0:00:00.015592             0:00:01.096965
0:00:00.015623             0:00:02.312215
0:00:00.015607             0:00:03.034948
0:00:00.027010             0:00:04.522467
0:00:00.031931             0:00:06.438626
0:00:00.015626             0:00:08.394647
0:00:00.015610             0:00:09.652374
             
FOR Quicksort              FOR BUBBLE SORT
0:00:00.000999             0:00:00.105000
0:00:00.002999             0:00:00.434235
0:00:00.006000             0:00:00.948037
0:00:00.007000             0:00:01.800259
0:00:00.009001             0:00:02.646585
0:00:00.009994             0:00:04.102048
0:00:00.011000             0:00:08.910971
0:00:00.021999             0:00:11.186535
0:00:00.024010             0:00:14.267181
0:00:00.027020             0:00:18.083052

FOR Quicksort       FOR BUBBLE SORT
0:00:00             0:00:00.062546
0:00:00             0:00:00.371596
0:00:00.005353             0:00:00.751604
0:00:00             0:00:01.758100
0:00:00.015654             0:00:02.718007
0:00:00.015626             0:00:03.688209
0:00:00.015632             0:00:05.443046
0:00:00.008088             0:00:07.363470
0:00:00.015628             0:00:08.261745
0:00:00.015624             0:00:11.125629
